===== Experiment Log Start ======================================

===== 2025-10-09 20:50:16.946922 == New Experiment: Salt & Pepper Noise =====
dataset  nmf_type  k  max_runs  RRE_mean  RRE_std  ACC_mean  ACC_std  NMI_mean  NMI_std  noise_type  noise_p  noise_r block_ratio num_blocks normalization
    ORL Frobenius 50         5  0.161530 0.000337  0.750000 0.015615  0.856692 0.008954 salt_pepper     0.01      0.5        None       None     per_image
    ORL Frobenius 50         5  0.181002 0.000388  0.693889 0.009027  0.825485 0.003967 salt_pepper     0.05      0.3        None       None     per_image
    ORL Frobenius 50         5  0.204199 0.000473  0.675556 0.018036  0.816481 0.011629 salt_pepper     0.10      0.5        None       None     per_image
    ORL Frobenius 50         5  0.207361 0.000551  0.705556 0.017656  0.831280 0.011349 salt_pepper     0.10      0.7        None       None     per_image
    ORL Frobenius 50         5  0.254454 0.000504  0.612222 0.020077  0.751534 0.013213 salt_pepper     0.20      0.5        None       None     per_image
    ORL Frobenius 50         5  0.314710 0.000329  0.454444 0.028577  0.634907 0.017114 salt_pepper     0.30      0.3        None       None     per_image
    ORL Frobenius 50         5  0.324201 0.000373  0.477778 0.022839  0.644287 0.018986 salt_pepper     0.30      0.7        None       None     per_image
    ORL       L21 50         5  0.164001 0.000342  0.736667 0.015654  0.849142 0.009019 salt_pepper     0.01      0.5        None       None     per_image
    ORL       L21 50         5  0.183647 0.000461  0.740000 0.019132  0.845285 0.011754 salt_pepper     0.05      0.3        None       None     per_image
    ORL       L21 50         5  0.207165 0.000538  0.691667 0.011386  0.820773 0.009466 salt_pepper     0.10      0.5        None       None     per_image
    ORL       L21 50         5  0.210227 0.000663  0.683333 0.012044  0.817786 0.015312 salt_pepper     0.10      0.7        None       None     per_image
    ORL       L21 50         5  0.256767 0.000556  0.593333 0.021915  0.747753 0.007950 salt_pepper     0.20      0.5        None       None     per_image
    ORL       L21 50         5  0.314863 0.000257  0.442222 0.017427  0.623499 0.015853 salt_pepper     0.30      0.3        None       None     per_image
    ORL       L21 50         5  0.325201 0.000386  0.460000 0.026446  0.636046 0.018875 salt_pepper     0.30      0.7        None       None     per_image
   YALE Frobenius 50         5  0.181540 0.000350  0.271874 0.009789  0.348444 0.016972 salt_pepper     0.01      0.5        None       None     per_image
   YALE Frobenius 50         5  0.191142 0.000321  0.261646 0.001699  0.349735 0.008926 salt_pepper     0.05      0.3        None       None     per_image
   YALE Frobenius 50         5  0.216278 0.000622  0.254486 0.004580  0.342110 0.010006 salt_pepper     0.10      0.5        None       None     per_image
   YALE Frobenius 50         5  0.235970 0.000521  0.242771 0.009415  0.337187 0.013340 salt_pepper     0.10      0.7        None       None     per_image
   YALE Frobenius 50         5  0.278010 0.000760  0.215063 0.008979  0.296464 0.011305 salt_pepper     0.20      0.5        None       None     per_image
   YALE Frobenius 50         5  0.306891 0.000792  0.196095 0.005353  0.260120 0.008187 salt_pepper     0.30      0.3        None       None     per_image
   YALE Frobenius 50         5  0.444866 0.000528  0.162250 0.006104  0.227653 0.010025 salt_pepper     0.30      0.7        None       None     per_image
   YALE       L21 50         5  0.191492 0.000715  0.264714 0.013191  0.352313 0.005770 salt_pepper     0.01      0.5        None       None     per_image
